100,{'A': 278, 'B': 284}
200,{'A': 599, 'B': 637}
300,{'A': 798, 'B': 745}
400,{'A': 836, 'B': 788}
500,{'A': 856, 'B': 788}
600,{'A': 856, 'B': 788}
